content,date
"Service alert: the following trips have been cancelled", 7:50 PM Feb 15 2024
"2127 # 4 Departing PTBO Terminal to PTBO Museum", 7:50 PM Feb 15 2024
2132 & 2232 #4 Departing PTBO Museum To Woodglade @ Sherbrooke, 7:50 PM Feb 15 2024
2200 & 2300 #4 Departing Woodglade @ Sherbrooke To PTBO Museum", 7:50 PM Feb 15 2024
