content,date
"#ServiceAlert The following trip will be cancelled: #8 Monaghan North departing Fleming at 14:45", 12:26 PM Feb 16 2024
"Service Update: The Following Routes Are Back To Normal Routing Route #6 Route #8 Route Routing Has Lifted", 8:22 PM Feb 15 2024
"Service Alert: Due to large snow Accumulation on our roads please expect delays", 7:12 PM Feb 15 2024
"The following trips will be cancelled: #8 departing Fleming 1645 #8 departing Trent 1745", 4:20 PM Jan 24 2024
